Mean droplet size (µm2),Droplet count,Process interval,Category
34.59707317,1394,0,U
37.83452241,1294,0,U
37.42387593,1338,0,U
36.1337853,1374,0,U
31.65249298,1566,0,U
36.76876496,1404,0,U
36.51761311,1388,0,U
35.34619724,1379,0,U
35.92706705,1387,0,U
36.52930556,1368,0,U
31.46445425,1530,5,U
31.06586011,1587,5,U
31.77399289,1547,5,U
32.19550263,1522,5,U
36.66596479,1420,5,U
33.33958508,1475,5,U
33.33050324,1542,5,U
38.55271741,1419,5,U
36.50379131,1404,5,U
36.34886338,1398,5,U
30.6449988,1661,10,U
34.38376034,1523,10,U
35.74961081,1480,10,U
39.23123229,1369,10,U
38.46684467,1397,10,U
34.27331976,1498,10,U
32.9001455,1512,10,U
32.15902579,1590,10,U
33.21348217,1514,10,U
33.78346247,1479,10,U
27.48127756,1769,15,U
24.83175937,1895,15,U
28.32546087,1738,15,U
26.51691471,1829,15,U
27.07110722,1856,15,U
25.82202527,1820,15,U
27.63681018,1807,15,U
26.83190708,1808,15,U
27.4673411,1803,15,U
24.97706559,1921,15,U
18.96279776,2408,20,U
18.89760831,2479,20,U
18.3897482,2506,20,U
18.26186822,2489,20,U
18.33824013,2407,20,U
18.85139365,2487,20,U
18.91064885,2489,20,U
18.94748615,2454,20,U
19.9713284,2433,20,U
19.49789908,2507,20,U
11.70785309,3805,25,M
11.31681279,3846,25,M
12.52552065,3778,25,M
12.91870032,3714,25,M
12.24526087,3657,25,M
12.89166488,3545,25,M
11.83855133,3760,25,M
12.86920077,3656,25,M
11.17483299,3892,25,M
11.20609956,3857,25,M
11.08879396,4009,30,M
10.28385782,4248,30,M
11.41257595,4200,30,M
10.69737081,4323,30,M
10.42581047,4147,30,M
10.67934156,4131,30,M
11.11398089,4239,30,M
11.01179754,4233,30,M
10.55034609,4207,30,M
10.64314116,4208,30,M
10.31371335,4577,35,M
9.794858747,4630,35,M
9.445460841,4520,35,M
10.27393223,4574,35,M
9.67432212,4548,35,M
9.967074411,4502,35,M
10.06165903,4496,35,M
10.10134064,4562,35,M
9.60227839,4447,35,M
10.62121371,4450,35,M
10.44338754,4526,40,M
10.58798511,4297,40,M
10.62398475,4261,40,M
10.49157543,4388,40,M
10.23777761,4519,40,M
10.19047482,4467,40,M
10.44228059,4512,40,M
9.654225664,4520,40,M
10.06159911,4480,40,M
10.28146286,4537,40,M
11.10309047,4101,45,M
10.4986202,4218,45,M
11.82288866,3970,45,M
11.10078522,4167,45,M
10.85387137,4198,45,M
11.01655539,4107,45,M
10.12990087,4267,45,M
11.21366252,4261,45,M
10.78975434,4148,45,M
10.95613722,4256,45,M
10.5075135,4074,50,M
10.71269747,4221,50,M
10.08258706,4250,50,M
10.24819611,4217,50,M
10.83217157,4249,50,M
11.33169261,4125,50,M
10.85207911,4159,50,M
10.96257362,4177,50,M
11.34223169,4096,50,M
11.18571075,4076,50,M
9.79089314,4548,55,M
9.955505139,4573,55,M
9.706909012,4616,55,M
9.707027898,4624,55,M
9.554492521,4613,55,M
9.986206787,4715,55,M
10.15210211,4681,55,M
9.673274566,4895,55,M
9.244642556,4742,55,M
9.535427292,4800,55,M
8.244815162,5659,60,A
7.745443106,5730,60,A
7.998313186,5741,60,A
7.019417888,5870,60,A
7.277979434,5835,60,A
7.894199002,5809,60,A
7.337949965,5756,60,A
8.103672483,5731,60,A
7.857628791,5738,60,A
7.86304597,5286,60,A
6.71706855,6550,65,T
6.999577987,6469,65,T
7.499248892,6320,65,T
6.672711731,6487,65,T
6.970638632,6492,65,T
7.375169952,6443,65,T
7.364950476,6401,65,T
6.631276871,6494,65,T
7.331282734,6423,65,T
7.517142289,6037,65,T
7.376260066,6383,70,T
7.314859762,6382,70,T
6.76833237,6571,70,T
7.02656475,6610,70,T
7.601759725,6247,70,T
6.671159781,6390,70,T
6.71367568,6657,70,T
6.99074996,6207,70,T
7.250346564,6097,70,T
6.768490429,6478,70,T
